Order Date,Sales,Profit,Region,Category,Sub-Category,Customer Name
2023-01-04,1487.15,343.54,Central,Technology,Phones,Toby Swindell
2023-11-02,365.77,43.67,South,Office Supplies,Supplies,Emily Burns
2025-06-26,291.37,78.8,West,Office Supplies,Supplies,Gary Hansen
2024-08-29,60.64,-12.91,Central,Furniture,Tables,Claire Gute
2025-09-18,115.53,44.5,Central,Technology,Copiers,Paul Prost
2023-11-17,131.24,37.53,South,Office Supplies,Paper,Claire Gute
2024-07-12,118.73,17.07,West,Office Supplies,Binders,Yoseph Carroll
2024-09-09,715.53,44.0,West,Furniture,Tables,Brosina Hoffman
2024-12-11,80.82,24.42,Central,Office Supplies,Paper,Eric Hoffmann
2024-06-14,89.64,27.28,East,Office Supplies,Fasteners,Sandra Flanagan
2024-02-14,210.25,77.8,Central,Technology,Phones,Gary Hansen
2025-03-28,18.66,3.78,Central,Furniture,Bookcases,Eric Hoffmann
2024-05-07,243.75,124.59,Central,Technology,Copiers,Claire Gute
2023-01-12,114.56,26.44,Central,Office Supplies,Fasteners,Toby Swindell
2023-07-14,1433.79,291.83,South,Technology,Machines,Stewart Rivera
2024-05-04,33.7,10.66,West,Office Supplies,Envelopes,Pete Kaisen
2025-03-05,123.74,37.39,South,Office Supplies,Supplies,Yoseph Carroll
2025-05-30,193.01,37.03,South,Office Supplies,Storage,Georgia Nippi
2023-07-01,93.22,-12.53,South,Furniture,Furnishings,Alejandro Grove
2025-08-19,9.12,2.2,Central,Office Supplies,Appliances,Claire Gute
2024-10-17,331.19,38.98,East,Technology,Phones,Pete Kaisen
2024-11-24,57.74,18.93,West,Office Supplies,Envelopes,Toby Swindell
2023-01-30,1912.42,834.91,East,Technology,Machines,Albert Patina
2025-02-16,80.75,-5.99,South,Furniture,Chairs,Gary Hansen
2024-03-19,163.54,41.36,South,Office Supplies,Storage,Georgia Nippi
2023-10-25,13.12,1.74,East,Technology,Accessories,Albert Patina
2025-03-18,355.64,126.37,East,Technology,Machines,Linda Cazzolari
2025-04-24,126.11,19.44,East,Office Supplies,Supplies,John Lee
2025-10-12,58.06,14.77,South,Office Supplies,Storage,Toby Swindell
2024-07-07,96.07,15.55,South,Office Supplies,Appliances,Toby Swindell
2023-10-30,31.79,2.98,West,Office Supplies,Labels,Ken Black
2024-02-25,222.15,2.76,West,Furniture,Bookcases,Arthur Prichep
2023-07-04,756.26,105.45,South,Technology,Machines,Maria Etezadi
2024-04-12,310.82,-28.1,East,Furniture,Tables,Linda Cazzolari
2025-01-23,2285.1,261.26,East,Technology,Machines,Ken Black
2023-12-29,153.49,31.96,West,Office Supplies,Envelopes,Georgia Nippi
2023-12-02,91.61,28.94,South,Office Supplies,Storage,Irene Maddox
2023-06-11,10.93,2.02,West,Furniture,Furnishings,Maria Etezadi
2023-01-12,773.2,36.54,West,Furniture,Tables,Linda Cazzolari
2024-08-10,222.08,72.53,Central,Office Supplies,Binders,Brosina Hoffman
2023-07-20,214.51,29.3,Central,Technology,Machines,Ken Black
2024-06-05,251.58,22.3,Central,Office Supplies,Binders,Maria Etezadi
2024-05-19,152.98,11.14,East,Furniture,Bookcases,Linda Cazzolari
2025-02-26,265.37,84.44,South,Office Supplies,Labels,Ken Black
2025-11-28,45.55,20.09,South,Technology,Phones,John Lee
2023-03-01,306.69,19.59,South,Office Supplies,Paper,Claire Gute
2024-07-31,108.73,17.04,South,Office Supplies,Fasteners,Linda Cazzolari
2023-11-17,57.76,6.58,Central,Office Supplies,Labels,Paul Prost
2025-07-11,51.21,14.17,East,Office Supplies,Envelopes,Linda Cazzolari
2024-07-22,89.85,21.75,East,Office Supplies,Envelopes,Lena Creighton
2024-06-10,1048.78,90.16,Central,Office Supplies,Envelopes,Joel Eaton
2024-06-07,102.52,27.6,East,Technology,Phones,Nick Crecia
2024-09-04,21.34,5.46,Central,Office Supplies,Binders,Toby Swindell
2023-05-05,136.93,38.85,South,Office Supplies,Paper,Brosina Hoffman
2025-05-20,340.48,-48.34,Central,Furniture,Chairs,Gary Hansen
2023-10-07,116.41,36.92,South,Office Supplies,Envelopes,Toby Swindell
2025-07-05,169.91,37.51,South,Office Supplies,Fasteners,John Lee
2024-09-13,51.62,15.15,West,Office Supplies,Storage,Lena Creighton
2025-04-25,1812.98,24.61,Central,Furniture,Tables,Maria Etezadi
2024-11-04,90.82,15.12,West,Technology,Accessories,Valerie Mitchum
2023-11-10,25.73,2.14,Central,Office Supplies,Paper,Albert Patina
2023-11-28,208.39,55.51,Central,Office Supplies,Supplies,Joel Eaton
2023-02-05,377.37,58.4,West,Technology,Phones,Alejandro Grove
